Date,A,AAPL,ABC,ABT,ACE,ACI,ADBE,ADI,ADM,ADP,ADSK,AEE,AEO,AEP,AES,AET,AFL,AGN,AIG,AIV,AKAM,ALL,ALTR,ALXN,AMAT,AMD,AMGN,AMT,AMZN,AN,ANF,ANN,AON,APA,APC,APD,APH,APOL,ARG,ARNA,ATI,ATVI,AVB,AVP,AVY,AXP,AZO,BA,BAC,BAX,BBBY,BBT,BBY,BCR,BDX,BEAM,BEN,BHI,BIG,BIIB,BK,BKS,BLK,BLL,BMS,BMY,BRCM,BSX,BWA,BXP,C,CA,CAG,CAH,CAM,CAMP,CAT,CB,CCE,CCI,CCL,CELG,CERN
12/12/00,39.05827928,0.988272181,8.551652526,14.70267173,29.96909761,41.36171818,35.12307858,42.94145183,8.83512286,33.99550605,7.023929464,18.49793815,5.613896428,20.85751054,38.37606854,7.743835624,25.42325766,45.25199348,1457.701884,14.58880525,39.44,28.09929877,25.08562884,20.86,18.07941545,17.25,59.71372754,35.18859808,25.88,6.25,14.62395227,9.804444444,24.47932621,23.42669463,29.01831598,24.37813957,6.60504292,15.39111111,6.503647853,171.3,12.89684707,0.952200353,23.68420056,14.42349982,32.40435506,38.93089594,25.31,47.33806544,14.02058947,16.39567094,22.08885679,19.06071841,8.62115739,21.27604894,25.3928742,17.29853914,9.626395413,29.64423233,8.22742835,69.16666667,37.43877232,9.006329466,32.84006635,2.100240418,9.306006068,35.05082668,87.36519916,6.72,3.756896942,20.04525075,364.5134236,20.95991604,13.57571755,35.25930163,15.0325,12.25,13.52890965,22.00137577,13.99026516,23.12963243,17.96994773,6.71125,6.8125
12/13/00,39.69958552,0.963854532,8.747428303,15.17723495,28.54199772,41.36171818,32.8872057,39.12634623,8.877942518,34.2375061,7.053114767,18.49793815,5.17899711,20.8851669,39.52873379,7.743835624,24.7174603,44.39146377,1432.063911,14.58880525,34.25,28.02053409,23.90396132,18.625,16.96286254,16.75,58.73380996,33.88932677,23.75,6.313,14.39441175,9.835555556,24.01233598,23.07505661,28.89003379,24.71318822,6.435953821,15.44444444,6.136926032,170,12.93881078,0.981147244,23.59166513,14.22975648,32.05578728,39.14567753,25,46.48210447,13.85921068,16.73018143,21.35059286,18.95574634,8.684769814,21.54454376,25.30139582,17.11632938,9.257234044,29.80042768,8.344963041,67.79333333,36.74941912,8.733001371,32.65762154,2.090561891,9.166637699,36.57185149,85.63151697,6.5,3.7093276,20.33508414,367.0760298,19.67054735,13.60930695,36.23576,14.7975,11.25,13.30864189,21.56977354,14.22790802,23.34833167,18.30421015,6.625,6.875
12/14/00,40.42276065,0.92787063,8.980693057,14.09921479,27.82844778,41.36171818,28.47508323,39.53510754,8.963581835,34.8205062,7.174720194,18.33774634,4.903276627,20.25367984,37.99184679,7.830231911,25.24135113,43.82766844,1414.630089,14.56769701,32.63,26.70778946,22.7222938,17.7025,16.04498452,16.5,56.26651748,32.37351024,22.69,6,13.42441796,9.306666667,23.53781366,21.85857916,26.98349504,24.21061525,6.223418218,15.30666667,6.084057669,173.8,12.33033697,0.952200353,23.77186571,14.72449394,31.20304109,38.41126305,25.75,46.05070014,13.6558734,16.71838022,20.17921409,18.5413829,8.935871485,21.38431298,24.30275682,17.04800072,9.013690085,29.59490749,8.404200525,69.39666667,37.09409572,8.733001371,32.29273191,2.053460869,9.046274108,35.50609941,72.62890051,6.595,3.71689545,20.27898735,351.4926135,19.67054735,13.7156734,36.33111727,14.735,10.88,12.98941325,21.3414396,13.65296561,23.18212025,17.92315099,5.5625,6.6875
12/15/00,38.80585022,0.903452982,9.580516712,13.71253364,27.15771084,40.05489731,31.02397831,38.90403744,9.191953347,32.93400587,6.719915897,18.20706355,4.815159772,20.16610135,38.37606854,7.502835455,25.51421093,43.1550705,1402.763371,14.60689802,33.31,26.21551023,22.77641597,16.845,15.69531671,16.19,52.44308906,32.25621491,22.88,5.688,13.32815903,8.973333333,23.44742846,22.09617242,27.09408313,23.62092963,5.211232085,14.84,6.136926032,171.6,11.40713534,0.952200353,23.86440114,14.57572673,30.84824888,37.85005953,25.69,44.42779814,13.49449461,16.70657901,19.85437796,18.64635497,8.370055719,20.97724019,23.67765454,16.22805679,8.844491125,30.36766341,8.344963041,69.81333333,36.66669673,8.415805803,31.51916591,2.113682817,9.027269331,35.27846305,76.22009934,6.53,3.756896942,20.51272395,332.8617735,18.61142307,13.36858289,36.02215974,14.75,10.5,13.02772069,20.93666579,13.56097483,22.30732326,17.25462615,5.59375,6.70375
12/18/00,38.88771911,0.915661806,10.02205357,14.51811936,28.18522275,41.88528423,31.58046222,38.05065856,9.548783834,32.89550586,6.719915897,18.18177011,4.886221752,20.25367984,40.2971773,8.369071912,26.42374362,45.31134035,1441.293581,14.79385667,31,27.23945104,23.57020789,16.125,15.79465416,15.25,55.82905427,31.5253748,19.88,5,13.32815903,9,23.82403347,24.03493335,28.23977579,24.49875709,5.035097607,15.72444444,6.032028486,169.4,11.10639541,0.952200353,24.44396517,15.04970598,30.73620924,39.31888849,26.31,46.90666111,14.03995493,16.77935314,21.53761972,19.37010978,8.66468168,21.1114876,24.77539512,16.22805679,9.370033351,32.31599482,8.22742835,75.08333333,36.83903503,8.540659378,33.02251117,2.113682817,9.125460681,35.46988454,65.26075118,6.72,3.743923485,20.74646055,342.0040444,17.84394171,13.57571755,35.09147285,16.5325,10.31,13.50656364,21.3414396,13.89827437,21.70371333,17.4685541,5.64125,6.97625
12/19/00,38.92865355,0.899597564,10.3219654,14.73782456,26.85088436,42.13659594,31.7990809,39.57813505,9.727199078,32.75800583,6.476705043,18.49793815,4.970074888,20.59938444,40.72750566,7.957552755,26.30732344,46.8642503,1377.125398,14.8149649,28,27.77111261,22.49678473,16.765,15.49664181,15.38,57.14144389,30.39753511,18.25,5.688,11.80282528,8.471111111,23.58300626,23.96264008,29.7481974,25.38328551,4.667563663,19.75111111,5.874262577,158.8,10.88258896,0.961341477,24.47318688,15.20193289,31.24038764,38.06484113,26.19,45.45495131,14.28202311,16.95243754,20.85841691,19.67950115,8.413580008,20.95125682,24.58481516,15.80100267,9.503341623,33.96015634,8.462497732,66.79333333,36.06006592,8.33144528,31.70161072,2.194337211,9.423202196,36.2459176,59.86776121,6.655,3.723382178,20.86332885,348.0296321,16.88459,13.92840629,35.90391673,17.095,9.188,13.68852397,21.2117044,14.13591723,20.12033078,17.71590829,5.2575,6.375
12/20/00,35.81763602,0.924015212,9.984564591,14.29841416,26.4013479,41.88528423,28.44527159,36.43712705,9.548783834,32.41700577,5.851653148,19.07547177,4.970074888,21.54891972,40.48928817,8.014392418,26.08175933,44.6980893,1367.016711,14.75767112,23.94,26.87188254,22.21715348,15,15.02379556,14.56,55.67156752,31.5795111,16.69,5.625,11.52145303,8.835555556,23.58300626,23.12631255,28.66001055,24.88071254,3.985336119,20.88888889,5.454672393,150,9.092137304,1.066464396,24.13713715,15.3541598,30.77355579,35.63988765,26.13,44.5099704,13.79788674,16.62003681,22.08885679,19.95574345,8.246178894,20.57016741,24.34849601,15.62448696,9.485396279,33.49979112,8.404200525,61.35333333,36.49435843,7.805035615,30.46828378,2.191111035,9.483383992,37.02195066,55.88029217,6.72,3.662839379,20.74646055,332.4462157,15.18845619,14.0291745,34.80540106,16.765,8.5,13.74598512,21.48674302,14.37356009,20.44400567,16.29863563,4.57875,5.86
12/21/00,35.05352645,0.903452982,10.06162527,14.09921479,28.8987727,45.02668055,29.71723482,34.02041541,9.94843398,32.45000578,5.868677908,19.28625046,5.507303458,21.37837212,38.8063969,7.971194274,25.69611747,45.80589766,1419.318176,14.71847012,21.19,27.1147403,22.7222938,14.2825,14.05823557,13.69,55.72406311,30.45167142,15.19,5.625,12.17305192,8.528888889,24.2458311,23.37917598,28.53172836,25.83895167,3.926624627,21.11111111,5.454672393,150,9.70760506,1.057323272,23.89362286,15.50292701,31.66987294,36.41587276,26.75,44.25660595,14.78552495,16.6947778,22.39400588,20.40878081,8.07877778,19.86861643,24.63055435,15.69281562,9.74175834,32.99010104,8.932636495,62.39666667,37.91442603,8.395559278,29.28604139,2.265313077,9.781125506,35.95619859,47.98584646,6.655,3.777438249,20.86332885,337.6406878,14.56553723,14.2419074,35.80855947,16.1725,7.719,14.28548152,22.13541899,14.28156931,19.84914371,17.13429168,4.305,5.64875
12/22/00,37.31174312,0.963854532,10.4011088,13.87950959,28.8559597,46.07381265,32.63877538,35.31841187,9.855658053,32.72500583,5.858949474,19.20615456,5.561310563,21.49360699,40.34328391,8.271307693,25.5578685,47.47750135,1418.292657,14.30535182,23.56,27.16068636,24.86011977,15.59,15.34962239,14.31,58.40133792,31.69680643,15.56,5.875,12.68396468,9.64,24.2910237,23.96264008,28.70866931,26.7234801,4.028782624,21.22222222,5.454672393,141.3,10.27411515,1.119025855,23.2556154,15.65515392,31.74456604,36.85236439,27.25,43.44173111,14.88880737,16.44891927,22.88618184,20.85629333,8.748382237,19.27099894,24.53907597,15.76683834,9.74175834,32.8339057,9.525011336,65.31333333,38.25910263,8.773494422,28.09650121,2.305640274,10.07569956,35.37676057,58.31983068,6.47,3.879063663,20.74646055,346.7136991,15.14231404,14.2754968,35.8772167,15.75,7.875,14.88563136,22.50905636,14.41955548,23.50579513,17.96994773,4.5075,6.0625
12/26/00,36.49987671,0.943934872,10.54273383,14.1167912,29.92628461,53.6550491,32.76299054,37.01799839,9.991253638,33.65450599,5.807875194,19.73310129,5.312593632,22.12509405,42.8868319,8.639628706,25.44508645,48.84247952,1429.28036,14.45612492,23.81,27.52825486,23.79571696,15.655,15.09929202,14.12,59.27626433,32.20207861,16.94,5.81,12.44701963,9.831111111,24.56971141,25.9451831,31.82725357,27.3935774,3.992381498,22.11111111,5.295228123,140.6,10.44896395,1.138069862,23.4991297,16.06685852,32.79649382,36.89393502,27.25,43.14043285,14.94690374,16.80492242,22.82712072,20.99441448,8.222742738,19.56980769,25.3928742,16.26222112,9.749449202,34.93843245,9.109408669,67.45666667,38.30046382,8.395559278,28.68762241,2.456732839,10.2942545,36.21487628,57.27342964,6.595,4.067178791,20.71373743,352.8085464,14.37327829,14.20831799,37.64323321,16.3125,9,15.24316743,22.44418876,14.27390341,22.79720957,17.34153438,4.00625,6.2975
